Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Pseudonocardiaceae,TreatmentCONV...TreatmentRWA,-3.36935428206726,-4.50223823287859,-2.23647033125593,1.24709220147445,-5.83994474682318,8.20651265125853e-09,7.70500354479273e-08,10.1696229155189
Nitrosomonadaceae,TreatmentCONV...TreatmentRWA,-2.99706233979173,-4.12646222500172,-1.86766245458174,1.24442400277776,-5.21069341441683,2.52053098417774e-07,1.85204233185234e-06,6.76559223799881
Cytophagaceae,TreatmentCONV...TreatmentRWA,-0.512326348082198,-1.74132636689408,0.716673670729688,1.21480858552316,-0.818544483033295,0.413342619709856,0.506194947325838,-6.11342249853148
Bifidobacteriaceae,TreatmentCONV...TreatmentRWA,5.07066954884567,3.46253120834882,6.67880788934252,1.20629867498339,6.19140746302876,1.04956580317651e-09,1.10860387960519e-08,12.1814982337912
Thermomonosporaceae,TreatmentCONV...TreatmentRWA,0.685648201035876,-0.599673475926473,1.97096987799823,1.20129492083898,1.04745890348618,0.29527248662999,0.380924047637163,-5.86278973742337
Syntrophobacteraceae,TreatmentCONV...TreatmentRWA,0.481248861027701,-0.804279759496601,1.766777481552,1.17824946247833,0.735081424688123,0.462551750599774,0.554405998945828,-6.13346071804494
EB1017,TreatmentCONV...TreatmentRWA,0.500632602671474,-0.78484536038119,1.78611056572414,1.15221297456849,0.764719168823602,0.44471288883338,0.53683198723458,-6.11187897296308
[Weeksellaceae],TreatmentCONV...TreatmentRWA,-1.66013669743415,-2.73728465345241,-0.582988741415889,1.13979297872247,-3.02632783179012,0.00257204703102507,0.00701090239101995,-2.07807728897679
Turicibacteraceae,TreatmentCONV...TreatmentRWA,0.0931608419988788,-1.31460835224546,1.50093003624321,1.13442540207661,0.129941965438555,0.896652045279551,0.90739039312721,-6.29997177694317
Actinomycetaceae,TreatmentCONV...TreatmentRWA,-0.276628916986202,-1.3965032169519,0.843245382979496,1.04127503782857,-0.485038019703565,0.627810775665401,0.68451626508034,-6.41574275987406
Paenibacillaceae,TreatmentCONV...TreatmentRWA,0.590689412062961,-0.694847849471232,1.87622667359715,1.01505614007091,0.902239841235032,0.367259542723887,0.456373990590712,-6.00033887661317
Propionibacteriaceae,TreatmentCONV...TreatmentRWA,0.157212091116173,-1.12821975240809,1.44264393464043,1.01101718637902,0.240150985863597,0.810287988513359,0.834991890602181,-6.36829086057639
Coxiellaceae,TreatmentCONV...TreatmentRWA,0.753453655729187,-0.871996140094217,2.37890345155259,1.00937405278819,0.910186663849724,0.363057285792089,0.454493935547134,-5.77329235761187
Succinivibrionaceae,TreatmentCONV...TreatmentRWA,4.02014370328304,2.58693076382225,5.45335664274384,1.00503693085669,5.50780227234687,5.21523461855537e-08,4.19702214540884e-07,8.36654710685434
Dermacoccaceae,TreatmentCONV...TreatmentRWA,0.989029113222745,-0.418971016644807,2.3970292430903,0.993558986488386,1.37928452823487,0.168275534027699,0.245894614090543,-5.38770706215961
Erythrobacteraceae,TreatmentCONV...TreatmentRWA,-3.76550938165432,-4.9238376599703,-2.60718110333834,0.987881403031928,-6.3832162668512,3.27375262892201e-10,4.6105349523985e-09,13.4215994489551
Ellin517,TreatmentCONV...TreatmentRWA,0.381935918812672,-1.02276576339614,1.78663760102148,0.956318562025644,0.533892579094852,0.593596126628669,0.664729932038039,-6.17234427095028
FFCH4570,TreatmentCONV...TreatmentRWA,0.195183621081969,-1.21306028504256,1.6034275272065,0.930943261702285,0.272152904761753,0.785589806746671,0.819817794894421,-6.27198488671951
Bacteroidaceae,TreatmentCONV...TreatmentRWA,-4.33824561332466,-5.56793979749352,-3.1085514291558,0.897758507012443,-6.92730805558285,1.02305304590257e-11,1.57178149779577e-10,16.9543845518663
Piscirickettsiaceae,TreatmentCONV...TreatmentRWA,-4.51534882600491,-5.7455370717832,-3.28516058022662,0.852873513231148,-7.20721067763701,1.57056433956605e-12,2.99833176052089e-11,18.8829535426559
[Tissierellaceae],TreatmentCONV...TreatmentRWA,-0.227337325971438,-1.51245016498851,1.05777551304564,0.832579967366375,-0.347357730536177,0.728433633207062,0.774247069257821,-6.33789744633641
Nitrospiraceae,TreatmentCONV...TreatmentRWA,-0.154040604597798,-1.56228451072233,1.25420330152673,0.827251499088448,-0.21478543004867,0.830001146773892,0.848809967406291,-6.28549765141458
Conexibacteraceae,TreatmentCONV...TreatmentRWA,6.46900769324499,4.87428725137602,8.06372813511396,0.814173026148792,7.96527162135949,7.26432626624189e-15,2.45534227798976e-13,24.2231915629926
Alicyclobacillaceae,TreatmentCONV...TreatmentRWA,-2.47912143900381,-3.73154357288798,-1.22669930511964,0.805772187885795,-3.88682109034286,0.000111854283150469,0.000450080329819745,0.936300959268819
Xanthobacteraceae,TreatmentCONV...TreatmentRWA,0.419961657413557,-0.985718231712436,1.82564154653955,0.802342467623034,0.586638678018079,0.557647554683156,0.641105011846622,-6.14308321587323
Streptosporangiaceae,TreatmentCONV...TreatmentRWA,-0.491896293002882,-1.90014019912741,0.916347613121649,0.801218993409858,-0.685872125131096,0.493035275907956,0.586781419918623,-6.08025621277941
[Entotheonellaceae],TreatmentCONV...TreatmentRWA,-4.25839457180915,-5.34447235157155,-3.17231679204675,0.79845031296252,-7.69896694194883,5.04468710957993e-14,1.42092020253168e-12,22.4948810742511
Gemellaceae,TreatmentCONV...TreatmentRWA,-1.67950941112147,-2.79821168274247,-0.560807139500465,0.789097904695047,-2.94791804512077,0.00331253132530741,0.00848208778752959,-2.2771398836034
Sphingobacteriaceae,TreatmentCONV...TreatmentRWA,-1.52004533627499,-2.84201095721165,-0.19807971533832,0.734862267720365,-2.25779165738312,0.0242854670773359,0.0482852227772913,-3.89365260725549
Microbacteriaceae,TreatmentCONV...TreatmentRWA,-1.84898849746863,-3.12730968423395,-0.570667310703304,0.710421573623047,-2.84015280376259,0.00464849808224651,0.0113854518246328,-2.47725777882699
Polyangiaceae,TreatmentCONV...TreatmentRWA,-0.173210060412044,-1.42453682615212,1.07811670532803,0.710017734416425,-0.27180025682247,0.785860844810037,0.819817794894421,-6.38653511264019
Nitrososphaeraceae,TreatmentCONV...TreatmentRWA,-5.58040074131718,-6.80684797148776,-4.3539535111466,0.697552185314925,-8.93437145591652,4.07517095126236e-18,3.44351945381669e-16,32.4766568614388
Desulfovibrionaceae,TreatmentCONV...TreatmentRWA,-3.74748125723371,-5.32598184660436,-2.16898066786307,0.673605618387026,-4.66167728063097,3.79840371772649e-06,2.07074267192186e-05,4.22727452029468
Erysipelotrichaceae,TreatmentCONV...TreatmentRWA,-3.01760268449336,-4.24632987837028,-1.78887549061644,0.665551578712532,-4.82229829373343,1.76443040394003e-06,1.06495977952095e-05,4.89673703809873
Isosphaeraceae,TreatmentCONV...TreatmentRWA,-5.2153213218233,-6.44373286157191,-3.98690978207468,0.652637370586422,-8.33651751872188,4.46843044471263e-16,2.51721581718812e-14,27.4411977245139
Corynebacteriaceae,TreatmentCONV...TreatmentRWA,0.434534249361497,-1.28863800067277,2.15770649939576,0.636573719627843,0.49515686456254,0.620654663911659,0.68110804026669,-5.99730207501353
Mycobacteriaceae,TreatmentCONV...TreatmentRWA,-5.02195124662267,-6.25038475325113,-3.7935177399942,0.628405093293221,-8.02727834409472,4.59153726369609e-15,1.9399244939116e-13,24.97415516644
Rhodobacteraceae,TreatmentCONV...TreatmentRWA,-0.364388461489447,-2.08912566354582,1.36034874056693,0.621481178980929,-0.414848160882146,0.678388249763109,0.730239580955193,-6.03123387681393
[Mogibacteriaceae],TreatmentCONV...TreatmentRWA,-0.314356569202847,-1.7010950168612,1.07238187845551,0.613415158167071,-0.445118318278899,0.65638060810198,0.711078992110478,-6.22677262350608
Chromatiaceae,TreatmentCONV...TreatmentRWA,-3.9144122912933,-5.50174638318505,-2.32707819940156,0.602647114650355,-4.84223325865271,1.60176776467569e-06,1.00258797122293e-05,5.05072138116714
Planococcaceae,TreatmentCONV...TreatmentRWA,-4.68124603007828,-5.90769326024886,-3.4547987999077,0.585157509227046,-7.49480061522999,2.1502177596727e-13,5.19124001978122e-12,20.9453224703145
0319-6A21,TreatmentCONV...TreatmentRWA,-4.50728320907338,-5.73568821363337,-3.27887820451339,0.56404370223252,-7.20478049522174,1.59674472453775e-12,2.99833176052089e-11,18.8662999440843
[Exiguobacteraceae],TreatmentCONV...TreatmentRWA,-2.43446557147376,-4.05467192018347,-0.814259222764057,0.557795440291059,-2.95039926537568,0.00328639077273134,0.00848208778752959,-2.0059120845507
Cystobacterineae,TreatmentCONV...TreatmentRWA,-1.43368428965055,-2.67464092627054,-0.192727653030559,0.543862889838876,-2.26852935801778,0.0236200231325038,0.0475212370165851,-3.92300048013881
Intrasporangiaceae,TreatmentCONV...TreatmentRWA,-4.33627505714064,-5.56470122157085,-3.10784889271043,0.542615175469112,-6.93130880770403,9.96443904197778e-12,1.57178149779577e-10,16.981615038132
Coriobacteriaceae,TreatmentCONV...TreatmentRWA,1.63908180096581,-0.352471847113403,3.63063544904502,0.533444590567772,1.61605486952709,0.106561660157529,0.169895477043607,-4.75373034447287
Rhodobiaceae,TreatmentCONV...TreatmentRWA,1.12507219771305,-0.28220391035902,2.53234830578512,0.511075079748473,1.56981531590841,0.116938698333455,0.182987407577351,-5.11635569237349
Streptomycetaceae,TreatmentCONV...TreatmentRWA,-3.92647159513966,-5.15487579347526,-2.69806739680405,0.4913616255044,-6.27637164524969,6.28766671718032e-10,8.17396673233442e-09,12.7644346636007
Aerococcaceae,TreatmentCONV...TreatmentRWA,3.06149939024135,1.33676218818498,4.78623659229773,0.491279882122334,3.48544898044259,0.000523940954443035,0.00177092042601746,-0.330677672484455
Fusobacteriaceae,TreatmentCONV...TreatmentRWA,-3.89193850664555,-5.1179867002386,-2.6658903130525,0.489900353834736,-6.23312608072427,8.16711188030703e-10,9.45860255840508e-09,12.5006329052408
Gemmataceae,TreatmentCONV...TreatmentRWA,-3.89591511409826,-5.12411645733853,-2.66771377085799,0.487783184305175,-6.22855640128274,8.39520937136546e-10,9.45860255840508e-09,12.4729258841862
Opitutaceae,TreatmentCONV...TreatmentRWA,-2.00741879290018,-3.23632927512725,-0.778508310673105,0.479727178574819,-3.20748933276402,0.00140390045232859,0.00416244169199177,-1.42459251528192
Ellin5301,TreatmentCONV...TreatmentRWA,0.672757168520786,-1.31879647955843,2.6643108166,0.47377941780781,0.663305820097963,0.507366963685573,0.595451505992096,-5.77112796247728
[Paraprevotellaceae],TreatmentCONV...TreatmentRWA,-1.90489499877131,-3.47666529249616,-0.333124705046456,0.427993267825188,-2.37973966254638,0.0176088026733994,0.0367393537259814,-3.48421432307173
OM27,TreatmentCONV...TreatmentRWA,-2.46542535780264,-4.04669734208904,-0.884153373516237,0.42676796964505,-3.06148944020652,0.00229210528248863,0.00645609654567631,-1.70042610767049
EB1003,TreatmentCONV...TreatmentRWA,1.45753330776028,-0.534020340318934,3.44908695583949,0.416023046132466,1.43705689253337,0.151177042232922,0.22811535836932,-5.00975981808954
Caldicoprobacteraceae,TreatmentCONV...TreatmentRWA,1.44820389362438,-0.543349754454833,3.43975754170359,0.384490556102898,1.42785854432691,0.153806896584055,0.230029783386773,-5.0221056622805
Rikenellaceae,TreatmentCONV...TreatmentRWA,-1.71619516670997,-2.90916500400816,-0.523225329411777,0.384034460917365,-2.82478042536284,0.00487459986529711,0.0114417691282668,-2.57342491323091
Verrucomicrobiaceae,TreatmentCONV...TreatmentRWA,-2.97751460031833,-4.19966250379965,-1.75536669683701,0.378466714869437,-4.78385069092514,2.12420469301216e-06,1.23789859696226e-05,4.71442028484539
Holophagaceae,TreatmentCONV...TreatmentRWA,0.968519071830759,-0.69040083958231,2.62743898324383,0.3783403345641,1.14638433008449,0.252052777449145,0.338070788800838,-5.52245864038303
[Fimbriimonadaceae],TreatmentCONV...TreatmentRWA,-2.82087217087876,-4.04731940104934,-1.59442494070818,0.352610079186909,-4.51629210384265,7.45806631036372e-06,3.81943395894385e-05,3.50268269879472
Flavobacteriaceae,TreatmentCONV...TreatmentRWA,-2.94054002531706,-4.51877597351389,-1.36230407712023,0.344025546605536,-3.65849653196321,0.000273998451758516,0.00107368174717413,0.223073988033862
Rhodothermaceae,TreatmentCONV...TreatmentRWA,-3.53875194979944,-5.11723112173919,-1.96027277785969,0.33713890593367,-4.40208830014549,1.2508219765735e-05,5.87191427891448e-05,3.09853887506677
Halomonadaceae,TreatmentCONV...TreatmentRWA,-2.68733863061405,-3.9149591011241,-1.459718160104,0.336950414656797,-4.2983894070355,1.98070082149221e-05,8.80890628505744e-05,2.56670278382031
Nannocystaceae,TreatmentCONV...TreatmentRWA,-1.47769793444836,-3.05968541725987,0.104289548363147,0.33482643048487,-1.83412996895167,0.067086015146928,0.114520571311423,-4.58218310054937
mb2424,TreatmentCONV...TreatmentRWA,-1.22160152393598,-2.88188075504858,0.438677707176627,0.3341313923187,-1.44476068269143,0.149001029923199,0.226857423937122,-5.15241735954298
Myxococcaceae,TreatmentCONV...TreatmentRWA,1.76606376909243,-0.225479594760738,3.75760713294559,0.326170201922919,1.74126190068825,0.0821049382940902,0.134715869628167,-4.55680049696196
Pirellulaceae,TreatmentCONV...TreatmentRWA,-2.34846396003152,-3.94053379519125,-0.756394124871779,0.321028716552914,-2.89647156737312,0.00389913193606669,0.00983512383873537,-2.16772965132707
Endozoicimonaceae,TreatmentCONV...TreatmentRWA,4.74960520422913,2.83948254535758,6.65972786310068,0.296852403216598,4.88251671907552,1.31602328218426e-06,8.5541513341977e-06,5.20848815165502
Nocardiaceae,TreatmentCONV...TreatmentRWA,-4.65044083790336,-6.2302320663299,-3.07064960947681,0.290654586936826,-5.78018727229925,1.15240201999266e-08,1.02503127041452e-07,9.82991248534155
Deinococcaceae,TreatmentCONV...TreatmentRWA,0.54100987125236,-1.45054377682685,2.53256351933157,0.288333821619783,0.533409398105957,0.593930294306177,0.664729932038039,-5.84395407715817
Ellin6075,TreatmentCONV...TreatmentRWA,-2.2620286524582,-3.49018059355966,-1.03387671135674,0.283249191716685,-3.61654177885451,0.000321413546638946,0.00118084542134743,-0.0641569730502072
