"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Dermacoccaceae",13.3855697029056,7.65744647601188,0,0,0,0,0,0,0,20.8643815201192,0,0,0,21.4079868258543,0,0
"Lachnospiraceae",34.1168788769181,12.5019534302235,71.8105423987777,115.956900974859,0,0,21.9966159052454,44.6096654275093,0,0,0,241.194828354882,25.503355704698,27.1716755866612,100.130039011704,111.168562564633
"Synechococcaceae",0,0,0,0,0,0,0,0,0,0,0,1.33749442710655,0,0,0,0
"Micromonosporaceae",81.4560888018283,69.6983903734959,0,27.4499743458184,0,0,0,0,0,35.7675111773473,0,0,0,29.2301358583779,0,0
"Ellin6075",2.9382957884427,0,0,4.87429451000513,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacteriaceae",11.4267058439438,11.5643069229567,0,25.910723447922,0,0,0,0,0,5.46448087431694,0,0,0,12.7624536846439,0,20.6825232678387
"Rhizobiaceae",5.55011426705844,18.5966557274574,0,29.7588506926629,0,0,0,0,0,19.3740685543964,0,20.5082478823005,0,0,0,37.2285418821096
"Micrococcaceae",34.443356186745,47.9762462884826,59.5874713521773,60.287326834274,49.141503848431,60.0480384307446,0,0,0,49.1803278688525,0,16.941596076683,0,39.9341292713051,0,33.6091003102379
"Coxiellaceae",10.120796604636,0,0,0,0,0,0,0,0,20.367610531545,0,16.941596076683,0,16.0559901193907,0,0
"Halomonadaceae",0,0,0,0,0,0,7.89622109419064,3.71747211895911,0,0,0,0,0,0,0,0
"Listeriaceae",15.0179562520405,25.6290045319581,67.9908326967151,38.737814263725,46.7732386027235,63.2506004803843,0,92.9368029739778,0,25.8320914058619,0,0,36.241610738255,0,17.555266579974,0
"Solibacteraceae",17.1400587659158,22.3472417565245,0,0,0,0,0,0,0,27.819175360159,0,23.1832367365136,0,15.6442980650473,0,0
"Ellin517",19.7518772445315,6.25097671511174,0,0,0,0,0,0,0,16.8902136115251,0,0,0,13.9975298476739,0,0
"Comamonadaceae",56.8070519098923,31.2548835755587,0,65.1616213442791,32.5636471284784,0,0,0,0,96.8703427719821,0,0,0,81.9267188143269,0,61.0134436401241
